5.30E-06,2.28E-04
1.07E-05,4.60E-04
1.62E-05,6.96E-04
2.17E-05,9.36E-04
2.74E-05,1.18E-03
3.32E-05,1.43E-03
3.90E-05,1.68E-03
4.50E-05,1.94E-03
5.11E-05,2.20E-03
5.72E-05,2.46E-03
6.35E-05,2.73E-03
6.99E-05,3.01E-03
7.64E-05,3.29E-03
8.30E-05,3.57E-03
8.97E-05,3.86E-03
9.65E-05,4.16E-03
1.03E-04,4.45E-03
1.11E-04,4.76E-03
1.18E-04,5.07E-03
1.25E-04,5.38E-03
1.32E-04,5.70E-03
1.40E-04,6.03E-03
1.48E-04,6.36E-03
1.56E-04,6.69E-03
1.63E-04,7.04E-03
1.72E-04,7.39E-03
1.80E-04,7.74E-03
1.88E-04,8.10E-03
1.97E-04,8.47E-03
2.05E-04,8.84E-03
2.14E-04,9.22E-03
2.23E-04,9.60E-03
2.32E-04,9.99E-03
2.41E-04,1.04E-02
2.51E-04,1.08E-02
2.60E-04,1.12E-02
2.70E-04,1.16E-02
2.80E-04,1.21E-02
2.90E-04,1.25E-02
3.01E-04,1.29E-02
3.11E-04,1.34E-02
3.22E-04,1.38E-02
3.32E-04,1.43E-02
3.43E-04,1.48E-02
3.54E-04,1.52E-02
3.66E-04,1.57E-02
3.77E-04,1.62E-02
3.89E-04,1.67E-02
4.01E-04,1.72E-02
4.13E-04,1.78E-02
4.26E-04,1.83E-02
4.38E-04,1.88E-02
4.51E-04,1.94E-02
4.64E-04,1.99E-02
4.77E-04,2.05E-02
4.91E-04,2.11E-02
5.04E-04,2.17E-02
5.18E-04,2.23E-02
5.32E-04,2.29E-02
5.47E-04,2.35E-02
5.61E-04,2.41E-02
5.76E-04,2.48E-02
5.91E-04,2.54E-02
6.07E-04,2.61E-02
6.23E-04,2.67E-02
6.38E-04,2.74E-02
6.55E-04,2.81E-02
6.71E-04,2.88E-02
6.88E-04,2.95E-02
7.05E-04,3.03E-02
7.22E-04,3.10E-02
7.40E-04,3.17E-02
7.58E-04,3.25E-02
7.76E-04,3.33E-02
7.95E-04,3.41E-02
8.14E-04,3.49E-02
8.33E-04,3.57E-02
8.52E-04,3.65E-02
8.72E-04,3.74E-02
8.92E-04,3.82E-02
9.13E-04,3.91E-02
9.34E-04,4.00E-02
9.55E-04,4.09E-02
9.77E-04,4.18E-02
9.99E-04,4.28E-02
1.02E-03,4.37E-02
1.04E-03,4.47E-02
1.07E-03,4.57E-02
1.09E-03,4.67E-02
1.11E-03,4.77E-02
1.14E-03,4.87E-02
1.16E-03,4.98E-02
1.19E-03,5.08E-02
1.21E-03,5.19E-02
1.24E-03,5.30E-02
1.27E-03,5.41E-02
1.29E-03,5.53E-02
1.32E-03,5.64E-02
1.35E-03,5.76E-02
1.38E-03,5.88E-02
1.41E-03,6.00E-02
1.44E-03,6.13E-02
1.47E-03,6.25E-02
1.50E-03,6.38E-02
1.53E-03,6.51E-02
1.56E-03,6.64E-02
1.59E-03,6.78E-02
1.62E-03,6.92E-02
1.66E-03,7.05E-02
1.69E-03,7.20E-02
1.72E-03,7.34E-02
1.76E-03,7.49E-02
1.79E-03,7.63E-02
1.83E-03,7.78E-02
1.87E-03,7.94E-02
1.90E-03,8.09E-02
1.94E-03,8.25E-02
1.98E-03,8.41E-02
2.02E-03,8.58E-02
2.06E-03,8.74E-02
2.10E-03,8.91E-02
2.14E-03,9.08E-02
2.18E-03,9.26E-02
2.22E-03,9.44E-02
2.27E-03,9.62E-02
2.31E-03,9.80E-02
2.36E-03,9.99E-02
2.40E-03,1.02E-01
2.45E-03,1.04E-01
2.50E-03,1.06E-01
2.54E-03,1.08E-01
2.59E-03,1.10E-01
2.64E-03,1.12E-01
2.69E-03,1.14E-01
2.74E-03,1.16E-01
2.80E-03,1.18E-01
2.85E-03,1.20E-01
2.90E-03,1.22E-01
2.96E-03,1.25E-01
